date,Weekday,OtherPuzAns,BlockDensity,AvgHintLength,AvgAnswerLength,NumHints,NumOneWordHints,PctOneWdHints,PctPerplex,WeekdayNum,NumRepeatedAnswers,CumTotalAnswers,NumRepeatedAnswers_Norm
1994-01-01,Saturday,46.86363636363637,16.88888888888889,14.969696969696969,5.666666666666667,66,15,22.727272727272727,1.5151515151515151,5,0,66,0.0
1994-01-02,Sunday,69.84705882352941,20.037807183364833,15.547058823529412,4.976470588235294,170,33,19.411764705882355,4.705882352941177,6,0,66,0.0
1994-01-03,Monday,89.07894736842105,18.66666666666667,13.368421052631579,4.815789473684211,76,16,21.052631578947366,1.3157894736842104,0,1,236,5.575379125780553e-05
1994-01-04,Tuesday,84.25641025641026,16.0,14.602564102564102,4.846153846153846,78,13,16.666666666666664,3.8461538461538463,1,5,311,0.00020611756946162092
1994-01-05,Wednesday,79.4,16.88888888888889,13.3125,4.675,80,24,30.0,6.25,2,2,384,6.510416666666667e-05
1994-01-06,Thursday,92.98717948717949,16.88888888888889,13.448717948717949,4.794871794871795,78,19,24.358974358974358,2.564102564102564,3,7,462,0.00019425019425019425
1994-01-07,Friday,84.41025641025641,18.66666666666667,14.08974358974359,4.6923076923076925,78,13,16.666666666666664,2.564102564102564,4,7,533,0.00016837446480973687
1994-01-08,Saturday,98.01282051282051,16.0,13.846153846153847,4.846153846153846,78,24,30.76923076923077,1.282051282051282,5,6,604,0.00012735608762098828
1994-01-09,Sunday,62.75714285714286,17.687074829931976,14.5,5.185714285714286,140,35,25.0,1.4285714285714286,6,5,676,5.283178360101437e-05
1994-01-10,Monday,70.57142857142857,16.44444444444444,15.957142857142857,5.371428571428571,70,8,11.428571428571429,0.0,0,9,811,0.00015853443720274793
1994-01-11,Tuesday,88.08974358974359,17.77777777777778,12.307692307692308,4.743589743589744,78,27,34.61538461538461,1.282051282051282,1,10,872,0.00014702422959303693
1994-01-12,Wednesday,74.08974358974359,17.77777777777778,15.179487179487179,4.743589743589744,78,16,20.51282051282051,0.0,2,6,940,8.183306055646482e-05
1994-01-13,Thursday,93.93589743589743,16.88888888888889,15.08974358974359,4.794871794871795,78,11,14.102564102564102,3.8461538461538463,3,11,1012,0.00013935340022296544
1994-01-14,Friday,37.75714285714286,15.555555555555562,14.8,5.428571428571429,70,12,17.142857142857142,2.857142857142857,4,5,1079,6.619886137958427e-05
1994-01-15,Saturday,48.24285714285714,14.666666666666664,15.428571428571429,5.485714285714286,70,15,21.428571428571427,4.285714285714286,5,5,1144,6.243756243756244e-05
1994-01-16,Sunday,57.65217391304348,15.873015873015872,15.58695652173913,5.3768115942028984,138,28,20.28985507246377,2.898550724637681,6,12,1209,7.19243355989499e-05
1994-01-17,Monday,81.75675675675676,17.777777777777775,13.527027027027026,5.0,74,16,21.62162162162162,1.3513513513513513,0,14,1335,0.0001417147484563215
1994-01-18,Tuesday,54.83783783783784,16.0,13.797297297297296,5.108108108108108,74,16,21.62162162162162,2.7027027027027026,1,8,1395,7.749685169040008e-05
1994-01-19,Wednesday,63.3974358974359,16.88888888888889,15.26923076923077,4.794871794871795,78,8,10.256410256410255,7.6923076923076925,2,11,1461,9.652679057196511e-05
1994-01-20,Thursday,74.82894736842105,16.88888888888889,14.921052631578947,4.921052631578948,76,14,18.421052631578945,3.9473684210526314,3,15,1528,0.00012916781482502068
1994-01-21,Friday,70.54054054054055,22.222222222222225,13.432432432432432,4.72972972972973,74,20,27.027027027027028,12.162162162162163,4,5,1589,4.252206895378701e-05
1994-01-22,Saturday,84.3974358974359,16.0,14.820512820512821,4.846153846153846,78,21,26.923076923076923,1.282051282051282,5,18,1658,0.0001391853020321054
1994-01-23,Sunday,65.31428571428572,17.687074829931976,15.392857142857142,5.185714285714286,140,28,20.0,3.571428571428571,6,23,1718,9.562614335606187e-05
1994-01-24,Monday,76.74358974358974,15.111111111111109,12.923076923076923,4.897435897435898,78,23,29.48717948717949,3.8461538461538463,0,17,1835,0.00011877314329630406
1994-01-25,Tuesday,66.52702702702703,14.222222222222223,13.91891891891892,5.216216216216216,74,16,21.62162162162162,0.0,1,14,1896,9.97833276314289e-05
1994-01-26,Wednesday,62.256410256410255,19.555555555555564,14.666666666666666,4.641025641025641,78,13,16.666666666666664,3.8461538461538463,2,8,1956,5.243563525772115e-05
1994-01-27,Thursday,81.7051282051282,16.88888888888889,14.41025641025641,4.794871794871795,78,14,17.94871794871795,2.564102564102564,3,16,2026,0.00010124788012250993
1994-01-28,Friday,64.12162162162163,17.333333333333336,14.22972972972973,5.027027027027027,74,17,22.972972972972975,8.108108108108109,4,19,2088,0.00012296779538158848
1994-01-29,Saturday,43.24285714285714,14.22222222222222,15.3,5.514285714285714,70,16,22.857142857142858,0.0,5,9,2143,5.999600026664889e-05
1994-01-30,Sunday,56.154761904761905,17.39130434782609,15.535714285714286,5.2023809523809526,168,31,18.452380952380953,1.1904761904761905,6,27,2204,7.291936738397719e-05
1994-01-31,Monday,72.34210526315789,17.77777777777778,15.131578947368421,4.868421052631579,76,18,23.684210526315788,3.9473684210526314,0,18,2345,0.00010099876557064302
1994-02-01,Tuesday,88.1625,16.88888888888889,12.5625,4.675,80,21,26.25,8.75,1,17,2403,8.843112775697046e-05
1994-02-02,Wednesday,99.71052631578948,18.66666666666667,14.763157894736842,4.815789473684211,76,16,21.052631578947366,1.3157894736842104,2,23,2466,0.00012272164596405856
1994-02-03,Thursday,66.44444444444444,20.88888888888889,15.222222222222221,4.944444444444445,72,17,23.61111111111111,6.944444444444445,3,11,2519,6.0650169820475496e-05
1994-02-04,Friday,35.86764705882353,11.11111111111111,16.323529411764707,5.882352941176471,68,11,16.176470588235293,0.0,4,8,2580,4.5599635202918376e-05
1994-02-05,Saturday,66.3108108108108,17.333333333333336,14.297297297297296,5.027027027027027,74,22,29.72972972972973,10.81081081081081,5,19,2640,9.725634725634726e-05
1994-02-06,Sunday,59.18115942028985,16.78004535147392,15.217391304347826,5.318840579710145,138,23,16.666666666666664,2.1739130434782608,6,36,2695,9.679761232556264e-05
1994-02-07,Monday,86.76315789473684,20.444444444444443,13.68421052631579,4.7105263157894735,76,15,19.736842105263158,2.631578947368421,0,20,2797,9.408576858664358e-05
1994-02-08,Tuesday,85.77631578947368,16.88888888888889,15.236842105263158,4.921052631578948,76,14,18.421052631578945,6.578947368421052,1,17,2853,7.840315826369288e-05
1994-02-09,Wednesday,53.291666666666664,13.333333333333332,15.23611111111111,5.416666666666667,72,10,13.88888888888889,1.3888888888888888,2,16,2912,7.631257631257631e-05
1994-02-10,Thursday,74.06944444444444,16.444444444444446,15.36111111111111,5.222222222222222,72,16,22.22222222222222,5.555555555555555,3,15,2968,7.019317160826595e-05
1994-02-11,Friday,84.25641025641026,16.88888888888889,14.679487179487179,4.794871794871795,78,19,24.358974358974358,3.8461538461538463,4,19,3025,8.052553507098961e-05
1994-02-12,Saturday,55.957142857142856,13.77777777777778,16.685714285714287,5.542857142857143,70,13,18.571428571428573,5.714285714285714,5,11,3084,5.095423383361127e-05
1994-02-13,Sunday,58.725352112676056,18.59410430839003,15.683098591549296,5.056338028169014,142,18,12.676056338028168,0.7042253521126761,6,27,3143,6.049660994922766e-05
1994-02-14,Monday,76.85897435897436,16.0,15.012820512820513,5.358974358974359,78,20,25.64102564102564,1.282051282051282,0,22,3258,8.657190977632967e-05
